time;;datasource_id
590;92.71;201803
591;92.71;201803
592;94.93;201803
593;94.93;201803
594;96.27;201803
595;96.27;201803
596;96.27;201803
597;98.97;201803
598;99.17;201803
599;99.17;201803
600;99.07;201803
601;99.07;201803
602;99.07;201803
603;99.76;201803
604;99.76;201803
605;100.08;201803
606;100.08;201803
607;102.67;201803
608;102.67;201803
609;102.54;201803
610;102.54;201803
611;104.01;201803
612;104.01;201803
613;105.32;201803
614;105.32;201803
615;105.53;201803
616;105.53;201803
617;106.02;201803
618;106.02;201803
619;106;201803
620;106;201803
621;106;201803
622;106.86;201803
623;106.86;201803
624;106.44;201803
625;106.44;201803
626;105.32;201803
627;105.32;201803
628;105.32;201803
629;103.89;201803
630;103.89;201803
631;104.94;201803
632;104.94;201803
633;104.84;201803
634;104.84;201803
635;104.47;201803
636;104.47;201803
637;101.32;201803
638;101.32;201803
639;100.7;201803
640;100.7;201803
641;100.7;201803
642;100.7;201803
643;100.18;201803
644;100.18;201803
645;99.67;201803
646;99.67;201803
647;97.81;201803
648;97.81;201803
649;97.81;201803
650;98.54;201803
651;98.54;201803
652;99.16;201803
653;99.16;201803
654;99.58;201803
655;99.58;201803
656;98.02;201803
657;98.02;201803
658;98.86;201803
659;98.86;201803
660;99.37;201803
661;99.37;201803
662;99.37;201803
663;99.77;201803
664;99.77;201803
665;99.98;201803
666;99.98;201803
667;100.9;201803
668;100.9;201803
669;100.9;201803
670;99.58;201803
671;99.58;201803
672;100.8;201803
673;100.8;201803
674;100.05;201803
675;100.05;201803
676;102.14;201803
677;102.14;201803
678;100.4;201803
679;100.4;201803
680;98.02;201803
681;98.02;201803
682;96.06;201803
683;96.06;201803
684;95.75;201803
685;95.75;201803
686;94.86;201803
687;94.86;201803
688;93.95;201803
689;93.95;201803
690;94.71;201803
691;94.71;201803
692;93.42;201803
693;93.42;201803
694;92.9;201803
695;92.9;201803
696;93.42;201803
697;93.42;201803
698;93.52;201803
699;93.52;201803
700;92.99;201803
701;92.99;201803
702;92.36;201803
703;92.36;201803
704;91.47;201803
705;91.47;201803
706;92.06;201803
707;92.06;201803
708;91.77;201803
709;91.77;201803
710;91.34;201803
711;91.34;201803
712;92.28;201803
713;92.28;201803
714;92.81;201803
715;92.81;201803
716;91.55;201803
717;91.55;201803
718;91.56;201803
719;91.56;201803
720;90.11;201803
721;90.11;201803
722;89.58;201803
723;89.58;201803
724;88.97;201803
725;88.97;201803
726;89.91;201803
727;89.91;201803
728;89.38;201803
729;89.38;201803
730;88.39;201803
731;88.39;201803
732;87.65;201803
733;87.65;201803
734;89.79;201803
735;89.79;201803
736;88.49;201803
737;88.49;201803
738;88.49;201803
739;87.77;201803
740;87.77;201803
741;87.35;201803
742;87.35;201803
743;88.39;201803
744;88.39;201803
745;88.49;201803
746;88.49;201803
747;87.35;201803
748;87.35;201803
749;87.65;201803
750;87.65;201803
751;87.88;201803
752;87.88;201803
753;87.85;201803
754;87.85;201803
755;87.35;201803
756;87.35;201803
757;86.74;201803
758;86.74;201803
759;88.29;201803
760;88.29;201803
761;87.04;201803
762;87.04;201803
763;87.98;201803
764;87.98;201803
765;87.77;201803
766;87.77;201803
767;87.97;201803
768;87.97;201803
769;87.97;201803
770;86.84;201803
771;86.84;201803
772;86.12;201803
773;86.12;201803
774;86.31;201803
775;86.31;201803
776;85.8;201803
777;85.8;201803
778;86.01;201803
779;86.01;201803
780;87.86;201803
781;87.86;201803
782;86.93;201803
783;86.93;201803
784;85.81;201803
785;85.81;201803
786;87.66;201803
787;87.66;201803
788;86.22;201803
789;86.22;201803
790;87.66;201803
791;87.66;201803
792;85.3;201803
793;85.3;201803
794;85.08;201803
795;85.08;201803
796;84.87;201803
797;84.87;201803
798;85.91;201803
799;85.91;201803
800;85.08;201803
801;85.08;201803
802;83.95;201803
803;83.95;201803
804;84.96;201803
805;84.96;201803
806;83.53;201803
807;83.53;201803
808;84.67;201803
809;84.67;201803
810;83.82;201803
811;83.82;201803
812;83.95;201803
813;83.95;201803
814;83.43;201803
815;83.43;201803
816;84.65;201803
817;84.65;201803
818;82.54;201803
819;82.54;201803
820;83.53;201803
821;83.53;201803
822;83.93;201803
823;83.93;201803
824;82.85;201803
825;82.85;201803
826;82.85;201803
827;83.34;201803
828;83.53;201803
829;83.53;201803
830;84.46;201803
831;84.46;201803
832;84.35;201803
833;84.35;201803
834;81.93;201803
835;81.93;201803
836;82.33;201803
837;82.33;201803
838;82.95;201803
839;82.95;201803
840;82.02;201803
841;82.02;201803
842;82.53;201803
843;82.53;201803
844;81.51;201803
845;81.51;201803
846;82.54;201803
847;82.54;201803
848;82.54;201803
849;82.02;201803
850;82.02;201803
851;82.23;201803
852;82.23;201803
853;81.82;201803
854;81.82;201803
855;82.54;201803
856;82.54;201803
857;82.14;201803
858;82.14;201803
859;82.32;201803
860;82.32;201803
